"Sample","Latitude_WGS84","Longitude_WGS84","ClusterNum","FaunalCluster","SurveyName","Year"
"003.1.11155",50.49091,0.87282,7,"B1b","Eastern English Channel Monitoring 2013",2013
"005.1.11156",50.46209,0.86046,7,"B1b","Eastern English Channel Monitoring 2013",2013
"006.1.11157",50.46777,0.85243,7,"B1b","Eastern English Channel Monitoring 2013",2013
"009.1.11158",50.45597,0.84881,7,"B1b","Eastern English Channel Monitoring 2013",2013
"011.1.11159",50.45807,0.83709,7,"B1b","Eastern English Channel Monitoring 2013",2013
"0110B-S001",54.80276667,-3.68355,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S002",54.7957,-3.6958,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S003",54.79635,-3.68535,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S004",54.79606667,-3.672483333,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S005",54.78808333,-3.696716667,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S006",54.78851667,-3.688183333,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S007",54.78855,-3.673466667,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S008",54.7889,-3.660366667,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S009",54.78248333,-3.710783333,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S010",54.77976667,-3.69935,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S011",54.78053333,-3.689366667,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S012",54.78076667,-3.673533333,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S013",54.78053333,-3.66165,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S014",54.77306667,-3.721783333,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S015",54.77323333,-3.7102,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S016",54.75665,-3.6975,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S017",54.77323333,-3.68405,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S019",54.77333333,-3.6602,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S020",54.77251667,-3.647783333,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S021",54.76508333,-3.7235,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S022",54.76458333,-3.711,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S023",54.76478333,-3.69735,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S024",54.76423333,-3.684966667,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S025",54.76465,-3.673533333,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S026",54.76513333,-3.65965,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S027",54.76478333,-3.6483,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S028",54.7657,-3.634666667,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S029",54.758,-3.7237,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S030",54.75765,-3.708783333,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S031",54.75838333,-3.698383333,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S032",54.75831667,-3.684333333,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S033",54.75856667,-3.673366667,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S034",54.75845,-3.659733333,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S035",54.75723333,-3.649483333,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S036",54.75933333,-3.634166667,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S037",54.74995,-3.709416667,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S038",54.74993333,-3.698666667,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S040",54.75073333,-3.6735,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S041",54.74991667,-3.660183333,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S042",54.71685,-3.64835,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S043",54.75048333,-3.636016667,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S044",54.7507,-3.621916667,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S045",54.7433,-3.697833333,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S046",54.74361667,-3.683883333,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S047",54.74308333,-3.6735,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S048",54.74358333,-3.65875,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S049",54.74325,-3.64805,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S050",54.74351667,-3.63535,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S051",54.74343333,-3.62345,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S052",54.74321667,-3.6101,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S053",54.73496667,-3.698333333,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S054",54.73473333,-3.68535,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S055",54.73488333,-3.67355,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S056",54.73471667,-3.660383333,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S057",54.7346,-3.648866667,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S058",54.7336,-3.63505,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S059",54.73503333,-3.62335,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S060",54.72831667,-3.6852,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S061",54.72858333,-3.673683333,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S062",54.7276,-3.659966667,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S063",54.72836667,-3.648033333,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S074",54.758,-3.62305,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S075",54.77991667,-3.648533333,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S078",54.73003333,-3.694783333,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S080",54.76495,-3.734933333,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S083",54.789,-3.7243,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S084",54.7995,-3.706783333,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S085",54.8152,-3.692666667,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S086",54.81681667,-3.66775,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S087",54.80403333,-3.643583333,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S088",54.78008333,-3.634483333,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S089",54.76721667,-3.608183333,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S090",54.75401667,-3.593616667,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"0110B-S091",54.73548333,-3.585133333,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2001
"012.1.11160",50.51192,0.76892,7,"B1b","Eastern English Channel Monitoring 2013",2013
"014.1.11161",50.46015,0.81482,7,"B1b","Eastern English Channel Monitoring 2013",2013
"015.1.11162",50.45014,0.8198,7,"B1b","Eastern English Channel Monitoring 2013",2013
"016.1.11163",50.45494,0.80224,7,"B1b","Eastern English Channel Monitoring 2013",2013
"017.1.11164",50.48,0.77417,7,"B1b","Eastern English Channel Monitoring 2013",2013
"019.1.11165",50.44775,0.80103,7,"B1b","Eastern English Channel Monitoring 2013",2013
"020.1.11166",50.51891,0.71286,2,"D2a","Eastern English Channel Monitoring 2013",2013
"0202B-S064",54.75835,-3.73505,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2002
"0202B-S065",54.72,-3.71,6,"D2c","Robin Rigg Baseline Benthic Survey 2001/2002",2002
